
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 32, Input File: grids/4x4_hard_2.csv, Elapsed Time: 2m5.863s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 32, Input File: grids/4x4_hard_2.csv, Elapsed Time: 8m55.408s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 32, Input File: grids/4x4_hard_2.csv, Elapsed Time: 1m19.951s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 32, Input File: grids/4x4_hard_2.csv, Elapsed Time: 0m29.754s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 32, Input File: grids/4x4_hard_2.csv, Elapsed Time: 0m1.148s
gcc -o sudoku_solver sudoku_solver.c -fopenmp -lm, Threads: 32, Input File: grids/4x4_hard_3.csv, Elapsed Time: 2m48.251s
gcc -o sudoku_solver_parta sudoku_solver_parta.c -fopenmp -lm, Threads: 32, Input File: grids/4x4_hard_3.csv, Elapsed Time: 8m44.037s
gcc -o sudoku_solver_partb sudoku_solver_partb.c -fopenmp -lm, Threads: 32, Input File: grids/4x4_hard_3.csv, Elapsed Time: 1m29.715s
gcc -o sudoku_solver_partc sudoku_solver_partc.c -fopenmp -lm, Threads: 32, Input File: grids/4x4_hard_3.csv, Elapsed Time: 0m10.794s
gcc -o sudoku_solver_partc_serial sudoku_solver_partc_serial.c -fopenmp -lm, Threads: 32, Input File: grids/4x4_hard_3.csv, Elapsed Time: 0m1.274s
